"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-03-20 12:55:46 UTC","ThreatFox","Exotic Lily","Domain","yyt7aj0nk2mgr81z.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:46 UTC","ThreatFox","Exotic Lily","Domain","xupragg3oyhud518.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:46 UTC","ThreatFox","Exotic Lily","Domain","y7dcrc1ssuhvpzm4.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:46 UTC","ThreatFox","Exotic Lily","Domain","yl3u1wwoibxg8uul.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:46 UTC","ThreatFox","Exotic Lily","Domain","yx6cthzi9ohzi380.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:46 UTC","ThreatFox","Exotic Lily","Domain","y9jsk67vga4hw300.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:46 UTC","ThreatFox","Exotic Lily","Domain","xzdi55gfty1htxws.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","wrorxvg78anyad6a.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","xswip44buigglwh5.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","xc1u9iew5p5wwujn.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","vkd21pze579othkp.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","vvsf6fdk396ngitm.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","vjfy2k8sf967aqf3.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","vplcer6sdtgm0vhu.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","vq5x5ronelja0ilf.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","vrxmdrozbzcjjoku.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","xr2vok4wlfbjb4g2.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","vtjfpz12q51y4qb5.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","woktsxabxdz5hx3f.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","wbwg2gbw5csc8hxy.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","wjhc5uqb3nine0qv.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","x0p7kv4g5g27h7to.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","x0uqt2z1s1adreap.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","w8rszhvj58pl5lyg.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","w00m6sh95nn7wui3.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","w1zlq6gzp6hlhnuw.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","wcy8g0i753cd1gcg.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","wb9yxf1rj6zoun7w.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:45 UTC","ThreatFox","Exotic Lily","Domain","x1jyj3xw0pwn38fy.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","tk0mqqvqzjunlyv6.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","vj1g2myghuxilr93.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","uiwzxer0kpdsxtyu.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","t59es3znyxvgm6ty.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","v5b5d30ubl8dd4x7.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","t85qfg8d4j25k6aa.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","tmxajy6mycdsuyx4.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","ugww0ojejof6upab.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","uem3xffast8753gy.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","tqsfd610rahywd34.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","u0cjwwto0x0i7rpj.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","tquejdp5g289wfn7.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","v1mv41yoj46qhq9y.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","upvk7cnfwhdb6bna.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","ule230o1r2kxcf2i.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","v2v55lxssl516e3n.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","uzt89w0knf3hvzwp.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","tfzikpxuwvpmb14s.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","vau4y8n8d1v8teq7.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","v6a3wgi1ho29r1yb.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","tl55nh0nm7fznoyz.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
