"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-01-29 17:39:29","MalwareBazaar","Warp Panda","SHA256","320a0b5d4900697e125cebb5ff03dee7368f8f087db1c1570b0b62f5a986d759","signature=BrickStorm; file=320a0b5d4900697e125cebb5ff03dee7368f8f087db1c1570b0b62f5a986d759.elf (tag=BRICKSTORM)",
"2025-09-26 06:00:22","MalwareBazaar","Warp Panda","SHA256","aa688682d44f0c6b0ed7f30b981a609100107f2d414a3a6e5808671b112d1878","signature=BrickStorm; file=vmp (tag=BRICKSTORM)",
"2025-09-26 06:00:09","MalwareBazaar","Warp Panda","SHA256","2388ed7aee0b6b392778e8f9e98871c06499f476c9e7eae6ca0916f827fe65df","signature=BrickStorm; file=spclisten (tag=BRICKSTORM)",
"2025-09-26 05:59:49","MalwareBazaar","Warp Panda","SHA256","90b760ed1d0dcb3ef0f2b6d6195c9d852bcb65eca293578982a8c4b64f51b035","signature=BrickStorm; file=pg_update (tag=BRICKSTORM)",
